address,area,bathrooms,bedrooms,condo,parking_spots,price,suites,type
"Avenida Amintas Barros, 1480 - Lagoa Nova, Natal - RN",55.0,2.0,2.0,350.0,1.0,195000.0,1.0,apartment
"Rua Mipibu, 741 - Petrópolis, Natal - RN",103.0,1.0,3.0,520.0,2.0,450000.0,1.0,apartment
"Rua Ana Espínola Navarro - Ernani Sátiro, João Pessoa - PB",44.0,1.0,,,1.0,,,other
"Rua Vereador Manoel Coringa de Lemos - Ponta Negra, Natal - RN",982.0,22.0,20.0,,18.0,2950000.0,20.0,other
"Rua Quaresmeira, 2091 - Pitimbu, Natal - RN",381.0,3.0,4.0,,4.0,600000.0,1.0,house
"Rua Doutor Aderson Dutra de Almeida - Ponta Negra, Natal - RN",55.0,2.0,2.0,625.0,1.0,350000.0,1.0,apartment
"Rua Antídio de Azevedo, 1985 - Lagoa Nova, Natal - RN",288.0,4.0,4.0,1249.0,4.0,1400000.0,4.0,other
"Avenida dos Caiapós, 1945 - Pitimbu, Natal - RN",51.0,1.0,2.0,,1.0,140000.0,,apartment
"Rua Beatriz Pinheiro, 1319 - Barro Vermelho, Natal - RN",98.0,4.0,3.0,695.0,2.0,370000.0,2.0,apartment
"Rua Maurício de Araújo Gama Filho - Altiplano Cabo Branco, João Pessoa - PB",,,,,1.0,,,other
"Rua Lúcia Viveiros, 649 - Neópolis, Natal - RN",114.0,3.0,4.0,,3.0,475000.0,1.0,apartment
"Rua Mandacaru, 2160 - Lagoa Nova, Natal - RN",98.0,2.0,3.0,430.0,3.0,230000.0,2.0,apartment
"Rua Acari, 40 - Lagoa Nova, Natal - RN",98.0,4.0,3.0,500.0,2.0,550000.0,3.0,apartment
"Rua Valê de Miranda, 1743 - Tirol, Natal - RN",80.0,2.0,2.0,690.0,1.0,179000.0,1.0,apartment
"Avenida Prudente de Morais - Petrópolis, Natal - RN",260.0,4.0,4.0,1700.0,4.0,565000.0,3.0,apartment
"Avenida Engenheiro Roberto Freire, 4702 - Ponta Negra, Natal - RN",56.0,2.0,2.0,427.0,1.0,430000.0,1.0,apartment
"Candelária, Natal - RN",900.0,6.0,5.0,,10.0,1100000.0,4.0,house
"Rua Valdemar Naziazeno - Ernesto Geisel, João Pessoa - PB",,1.0,2.0,,1.0,,,other
"Rua Praia do Bessa, 2121 - Ponta Negra, Natal - RN",45.0,1.0,1.0,350.0,1.0,125000.0,,apartment
"Rua Walter Duarte Pereira, 1977 - Capim Macio, Natal - RN",92.0,3.0,3.0,,2.0,409900.0,1.0,apartment
"Avenida Nascimento de Castro - Lagoa Nova, Natal - RN",108.0,4.0,2.0,530.0,2.0,450000.0,2.0,apartment
"Rua Jornalista Francisco Sinedino, 379 - Lagoa Nova, Natal - RN",116.0,4.0,3.0,550.0,2.0,550000.0,3.0,apartment
"Rua Francisca Paula Alves, 905 - Barro Vermelho, Natal - RN",60.0,2.0,2.0,345000.0,1.0,250000.0,1.0,apartment
"Rua Praia de Camurupim, 8955 - Ponta Negra, Natal - RN",260.0,,,325.0,,130000.0,,other
"Rua Buenos Aíres, 845 - Alto Branco, Campina Grande - PB",40.0,1.0,2.0,,1.0,,,other
"Rua Mipibu, 741 - Petrópolis, Natal - RN",103.0,1.0,3.0,520.0,2.0,470000.0,1.0,apartment
